50,111,emnist,99.31,80.736,,50,111,99.31,72.556,,50,99.302,72.89006667
50,111,fmnist,99.31,63.465,,50,222,99.26,74.06466667,,,0.034205263,0.708842421
50,111,kmnist,99.31,73.467,,50,333,99.35,72.49033333,,,,
50,222,emnist,99.26,81.456,,50,444,99.31,72.308,,,,
50,222,fmnist,99.26,68.144,,50,555,99.28,73.03133333,,,,
50,222,kmnist,99.26,72.594,,,,,,,,,
50,333,emnist,99.35,80.124,,,,,,,,,
50,333,fmnist,99.35,63.383,,,,,,,,,
50,333,kmnist,99.35,73.964,,,,,,,,,
50,444,emnist,99.31,80.227,,,,,,,,,
50,444,fmnist,99.31,63.579,,,,,,,,,
50,444,kmnist,99.31,73.118,,,,,,,,,
50,555,emnist,99.28,79.505,,,,,,,,,
50,555,fmnist,99.28,67.102,,,,,,,,,
50,555,kmnist,99.28,72.487,,,,,,,,,
75,111,emnist,99.3,82.033,,75,111,99.3,74.71233333,,75,99.258,74.53406667
75,111,fmnist,99.3,66.585,,75,222,99.26,75.217,,,0.028635642,0.853322376
75,111,kmnist,99.3,75.519,,75,333,99.22,74.527,,,,
75,222,emnist,99.26,82.337,,75,444,99.26,73.09466667,,,,
75,222,fmnist,99.26,69.498,,75,555,99.25,75.11933333,,,,
75,222,kmnist,99.26,73.816,,,,,,,,,
75,333,emnist,99.22,81.622,,,,,,,,,
75,333,fmnist,99.22,66.005,,,,,,,,,
75,333,kmnist,99.22,75.954,,,,,,,,,
75,444,emnist,99.26,81.359,,,,,,,,,
75,444,fmnist,99.26,63.531,,,,,,,,,
75,444,kmnist,99.26,74.394,,,,,,,,,
75,555,emnist,99.25,81.073,,,,,,,,,
75,555,fmnist,99.25,69.728,,,,,,,,,
75,555,kmnist,99.25,74.557,,,,,,,,,
100,111,emnist,99.3,82.511,,100,111,99.3,75.50166667,,100,99.328,75.0806
100,111,fmnist,99.3,67.511,,100,222,99.39,76.012,,,0.038340579,1.259646344
100,111,kmnist,99.3,76.483,,100,333,99.3,75.05866667,,,,
100,222,emnist,99.39,82.66,,100,444,99.31,72.92933333,,,,
100,222,fmnist,99.39,70.632,,100,555,99.34,75.90133333,,,,
100,222,kmnist,99.39,74.744,,,,,,,,,
100,333,emnist,99.3,82.254,,,,,,,,,
100,333,fmnist,99.3,67.122,,,,,,,,,
100,333,kmnist,99.3,75.8,,,,,,,,,
100,444,emnist,99.31,81.704,,,,,,,,,
100,444,fmnist,99.31,61.917,,,,,,,,,
100,444,kmnist,99.31,75.167,,,,,,,,,
100,555,emnist,99.34,81.587,,,,,,,,,
100,555,fmnist,99.34,71.193,,,,,,,,,
100,555,kmnist,99.34,74.924,,,,,,,,,
0.1,111,emnist,99.27,82.686,,0.1,111,99.27,76.51633333,,0.1,99.234,76.85693333
0.1,111,fmnist,99.27,70.51,,0.1,222,99.18,77.71866667,,,0.035777088,1.159989808
0.1,111,kmnist,99.27,76.353,,0.1,333,99.24,76.251,,,,
0.1,222,emnist,99.18,83.358,,0.1,444,99.26,75.45833333,,,,
0.1,222,fmnist,99.18,73.83,,0.1,555,99.22,78.34033333,,,,
0.1,222,kmnist,99.18,75.968,,,,,,,,,
0.1,333,emnist,99.24,82.209,,,,,,,,,
0.1,333,fmnist,99.24,69.379,,,,,,,,,
0.1,333,kmnist,99.24,77.165,,,,,,,,,
0.1,444,emnist,99.26,81.838,,,,,,,,,
0.1,444,fmnist,99.26,68.334,,,,,,,,,
0.1,444,kmnist,99.26,76.203,,,,,,,,,
0.1,555,emnist,99.22,81.951,,,,,,,,,
0.1,555,fmnist,99.22,77.721,,,,,,,,,
0.1,555,kmnist,99.22,75.349,,,,,,,,,
1,111,emnist,99.35,82.51,,1,111,99.35,76.684,,1,99.3,76.4898
1,111,fmnist,99.35,71.205,,1,222,99.27,77.515,,,0.046368092,0.942480551
1,111,kmnist,99.35,76.337,,1,333,99.3,75.31233333,,,,
1,222,emnist,99.27,83.116,,1,444,99.34,75.735,,,,
1,222,fmnist,99.27,74.111,,1,555,99.24,77.20266667,,,,
1,222,kmnist,99.27,75.318,,,,,,,,,
1,333,emnist,99.3,81.885,,,,,,,,,
1,333,fmnist,99.3,66.928,,,,,,,,,
1,333,kmnist,99.3,77.124,,,,,,,,,
1,444,emnist,99.34,81.642,,,,,,,,,
1,444,fmnist,99.34,70.023,,,,,,,,,
1,444,kmnist,99.34,75.54,,,,,,,,,
1,555,emnist,99.24,81.825,,,,,,,,,
1,555,fmnist,99.24,74.262,,,,,,,,,
1,555,kmnist,99.24,75.521,,,,,,,,,
5,111,emnist,99.28,81.294,,5,111,99.28,75.59633333,,5,99.29,75.16726667
5,111,fmnist,99.28,70.611,,5,222,99.25,76.09066667,,,0.038078866,0.96665981
5,111,kmnist,99.28,74.884,,5,333,99.27,74.48566667,,,,
5,222,emnist,99.25,82.911,,5,444,99.35,73.829,,,,
5,222,fmnist,99.25,71.379,,5,555,99.3,75.83466667,,,,
5,222,kmnist,99.25,73.982,,,,,,,,,
5,333,emnist,99.27,81.469,,,,,,,,,
5,333,fmnist,99.27,66.167,,,,,,,,,
5,333,kmnist,99.27,75.821,,,,,,,,,
5,444,emnist,99.35,80.98,,,,,,,,,
5,444,fmnist,99.35,66.213,,,,,,,,,
5,444,kmnist,99.35,74.294,,,,,,,,,
5,555,emnist,99.3,80.916,,,,,,,,,
5,555,fmnist,99.3,72.567,,,,,,,,,
5,555,kmnist,99.3,74.021,,,,,,,,,
10,111,emnist,99.31,80.736,,10,111,99.31,72.556,,10,99.302,72.89006667
10,111,fmnist,99.31,63.465,,10,222,99.26,74.06466667,,,0.034205263,0.708842421
10,111,kmnist,99.31,73.467,,10,333,99.35,72.49033333,,,,
10,222,emnist,99.26,81.456,,10,444,99.31,72.308,,,,
10,222,fmnist,99.26,68.144,,10,555,99.28,73.03133333,,,,
10,222,kmnist,99.26,72.594,,,,,,,,,
10,333,emnist,99.35,80.124,,,,,,,,,
10,333,fmnist,99.35,63.383,,,,,,,,,
10,333,kmnist,99.35,73.964,,,,,,,,,
10,444,emnist,99.31,80.227,,,,,,,,,
10,444,fmnist,99.31,63.579,,,,,,,,,
10,444,kmnist,99.31,73.118,,,,,,,,,
10,555,emnist,99.28,79.505,,,,,,,,,
10,555,fmnist,99.28,67.102,,,,,,,,,
10,555,kmnist,99.28,72.487,,,,,,,,,
